,icmecat_id,sc_insitu,icme_start_time,mo_start_time,mo_end_time,mo_sc_heliodistance,mo_sc_long_heeq,mo_sc_lat_heeq,icme_duration,icme_bmax,icme_bmean,icme_bstd,icme_speed_mean,icme_speed_std,mo_duration,mo_bmax,mo_bmean,mo_bstd,mo_bzmean,mo_bzmin,mo_bzstd,mo_bymean,mo_bystd,mo_speed_mean,mo_speed_std,mo_expansion_speed,mo_pdyn_mean,mo_pdyn_std,mo_density_mean,mo_density_std,mo_temperature_mean,mo_temperature_std,sheath_speed_mean,sheath_speed_std,sheath_density_mean,sheath_density_std,sheath_pdyn_mean,sheath_pdyn_std
35,ICME_STEREO_A_MOESTL_20211103_01,STEREO-A,2021-11-03T09:37Z,2021-11-03T14:56Z,2021-11-03T22:55Z,0.9588,-37.22,6.95,13.3,12.6,10.3,1.5,,,7.98,12.6,10.9,1.4,-4.2,-10.8,4.1,-5.1,3.8,,,,,,,,,,,,,,,
36,ICME_Wind_MOESTL_20211031_01,Wind,2021-10-31T09:32Z,2021-10-31T10:04Z,2021-10-31T14:50Z,0.9844,-0.0,4.45,5.3,12.4,10.2,1.2,432.7,10.0,4.77,12.4,10.3,1.2,-0.1,-10.2,4.2,-6.2,2.3,434.1,9.0,9.2,4.2,1.3,13.2,4.0,144790.6,12237.8,420.3,10.2,15.6,1.3,4.6,0.5
37,ICME_STEREO_A_MOESTL_20211031_01,STEREO-A,2021-10-31T07:57Z,2021-10-31T12:22Z,2021-11-01T02:42Z,0.9585,-37.41,7.07,18.75,11.2,8.4,1.7,,,14.33,11.2,8.9,1.4,-2.7,-9.8,4.4,-2.5,3.5,,,,,,,,,,,,,,,
38,ICME_SOLO_MOESTL_20211030_01,SolarOrbiter,2021-10-30T22:01Z,2021-10-31T02:19Z,2021-10-31T07:48Z,0.8203,-2.01,2.13,9.78,17.9,9.6,2.7,,,5.48,12.7,8.9,1.7,-3.8,-11.1,3.8,-3.3,2.5,,,,,,,,,,,,,,,
39,ICME_BEPI_MOESTL_20211020_01,BepiColombo,2021-10-20T13:08Z,2021-10-20T15:15Z,2021-10-21T00:52Z,0.345,60.74,2.27,11.73,65.6,39.3,9.6,,,9.62,65.6,38.7,9.7,11.4,-49.9,16.7,-8.7,15.2,,,,,,,,,,,,,,,
40,ICME_Wind_MOESTL_20211017_01,Wind,2021-10-17T01:18Z,2021-10-17T01:18Z,2021-10-18T09:52Z,0.9882,0.13,5.75,32.57,12.7,9.8,1.5,353.4,15.4,32.57,12.7,9.8,1.5,1.1,-8.9,5.6,-6.6,2.6,353.4,15.4,15.5,1.5,0.5,7.4,2.3,20909.6,11929.4,,,,,,
41,ICME_Wind_MOESTL_20211016_01,Wind,2021-10-16T00:08Z,2021-10-16T00:08Z,2021-10-17T01:16Z,0.9885,0.13,5.83,25.13,9.7,8.6,0.6,385.1,15.8,25.13,9.7,8.6,0.6,4.5,-8.1,4.5,3.5,2.8,385.1,15.8,-31.8,1.9,0.9,7.5,3.5,53566.2,29854.6,,,,,,
42,ICME_SOLO_MOESTL_20211014_01,SolarOrbiter,2021-10-14T23:12Z,2021-10-15T09:54Z,2021-10-15T23:11Z,0.7165,-9.79,2.37,23.98,16.7,12.3,2.8,,,13.28,16.7,13.5,1.9,-5.0,-14.1,5.3,-9.5,3.4,,,,,,,,,,,,,,,
43,ICME_STEREO_A_MOESTL_20211012_01,STEREO-A,2021-10-12T12:04Z,2021-10-13T01:06Z,2021-10-13T16:29Z,0.9572,-38.64,7.33,28.42,9.4,6.3,1.4,,,15.38,6.8,5.9,0.7,0.6,-4.3,2.9,-2.6,1.6,,,,,,,,,,,,,,,
44,ICME_Wind_MOESTL_20211012_01,Wind,2021-10-12T01:48Z,2021-10-12T05:00Z,2021-10-12T08:58Z,0.9895,0.16,6.11,7.17,16.8,12.8,2.8,453.1,19.3,3.97,16.8,14.6,1.6,6.7,-12.8,8.1,-9.1,3.3,462.5,15.2,-7.2,4.5,2.7,12.6,8.0,244314.8,105293.1,440.7,16.8,27.9,3.6,9.1,1.4
45,ICME_Wind_MOESTL_20211006_01,Wind,2021-10-06T02:20Z,2021-10-06T07:10Z,2021-10-07T03:46Z,0.9911,0.2,6.49,25.43,12.5,8.3,2.4,320.4,11.6,20.6,12.5,9.2,1.5,3.3,-10.8,5.8,-3.9,4.3,319.3,12.5,15.6,3.1,1.2,17.7,6.1,25301.8,8999.6,325.0,4.1,25.1,2.3,4.4,0.4
